#x-axis,1,2
#second,Volt,Volt
-1.283700E+00,-30.151E-03,+0.0E+00
-1.281800E+00,-20.101E-03,+18.844E-03
-1.279900E+00,+0.0E+00,+8.794E-03
-1.278000E+00,+0.0E+00,+0.0E+00
-1.276100E+00,-8.794E-03,+20.101E-03
-1.274200E+00,-18.844E-03,+0.0E+00
-1.272300E+00,+10.050E-03,+20.101E-03
-1.270400E+00,+20.101E-03,+38.945E-03
-1.268500E+00,+30.151E-03,+20.101E-03
-1.266600E+00,+0.0E+00,+40.201E-03
-1.264700E+00,+50.251E-03,+90.452E-03
-1.262800E+00,+281.407E-03,+160.804E-03
-1.260900E+00,+542.714E-03,+140.704E-03
-1.259000E+00,+482.412E-03,+18.844E-03
-1.257100E+00,+239.950E-03,-70.352E-03
-1.255200E+00,+59.045E-03,-60.302E-03
-1.253300E+00,+40.201E-03,-40.201E-03
-1.251400E+00,+20.101E-03,+0.0E+00
-1.249500E+00,+20.101E-03,+0.0E+00
-1.247600E+00,+20.101E-03,-38.945E-03
-1.245700E+00,+10.050E-03,-40.201E-03
-1.243800E+00,+0.0E+00,+0.0E+00
-1.241900E+00,+0.0E+00,-8.794E-03
-1.240000E+00,-20.101E-03,+0.0E+00
-1.238100E+00,-40.201E-03,-10.050E-03
-1.236200E+00,-38.945E-03,-20.101E-03
-1.234300E+00,-20.101E-03,-20.101E-03
-1.232400E+00,-59.045E-03,-20.101E-03
-1.230500E+00,-60.302E-03,-8.794E-03
-1.228600E+00,-60.302E-03,-18.844E-03
-1.226700E+00,-60.302E-03,-50.251E-03
-1.224800E+00,-120.603E-03,-80.402E-03
-1.222900E+00,-301.508E-03,-60.302E-03
-1.221000E+00,-561.558E-03,+40.201E-03
-1.219100E+00,-471.106E-03,+169.598E-03
-1.217200E+00,-199.749E-03,+140.704E-03
-1.215300E+00,-60.302E-03,+60.302E-03
-1.213400E+00,-40.201E-03,+20.101E-03
-1.211500E+00,-50.251E-03,+8.794E-03
-1.209600E+00,-60.302E-03,+0.0E+00
-1.207700E+00,-40.201E-03,+20.101E-03
-1.205800E+00,-38.945E-03,+0.0E+00
-1.203900E+00,-20.101E-03,+10.050E-03
-1.202000E+00,-20.101E-03,+0.0E+00
-1.200100E+00,-10.050E-03,+8.794E-03
-1.198200E+00,+0.0E+00,+0.0E+00
-1.196300E+00,-10.050E-03,+8.794E-03
-1.194400E+00,+0.0E+00,+20.101E-03
-1.192500E+00,+20.101E-03,+10.050E-03
-1.190600E+00,+20.101E-03,+20.101E-03
-1.188700E+00,+20.101E-03,+8.794E-03
-1.186800E+00,+18.844E-03,+40.201E-03
-1.184900E+00,+48.995E-03,+70.352E-03
-1.183000E+00,+180.905E-03,+159.548E-03
-1.181100E+00,+442.211E-03,+100.503E-03
-1.179200E+00,+461.055E-03,-20.101E-03
-1.177300E+00,+209.799E-03,-90.452E-03
-1.175400E+00,+59.045E-03,-80.402E-03
-1.173500E+00,+20.101E-03,-28.894E-03
-1.171600E+00,+20.101E-03,+0.0E+00
-1.169700E+00,+40.201E-03,-30.151E-03
-1.167800E+00,+38.945E-03,-20.101E-03
